Survived,Pclass,Sex,Age,SibSp,Parch,Fare,title_Misc,title_Miss,title_Mr,title_Mrs,FamilySize,IsAlone,embark_Q,embark_S
0,3,1,22.0,1,0,1.9810014688665833,0,0,1,0,2,0,0,1
1,1,0,38.0,1,0,4.26666207838721,0,0,0,1,2,0,0,0
1,3,0,26.0,0,0,2.0700223197633445,0,1,0,0,1,1,0,1
1,1,0,35.0,1,0,3.9721769282478934,0,0,0,1,2,0,0,1
0,3,1,35.0,0,0,2.0856720914304723,0,0,1,0,1,1,0,1
0,3,1,28.0,0,0,2.135148207799377,0,0,1,0,1,1,1,0
0,1,1,54.0,0,0,3.948595985658986,0,0,1,0,1,1,0,1
0,3,1,2.0,3,1,3.048087503887919,0,0,0,0,5,0,0,1
1,3,0,27.0,0,2,2.409940617298087,0,0,0,1,3,0,0,1
1,2,0,14.0,1,0,3.4035546012358333,0,0,0,1,2,0,0,0
1,3,0,4.0,1,1,2.8154087194227095,0,1,0,0,3,0,0,1
1,1,0,58.0,0,0,3.279029747687948,0,1,0,0,1,1,0,1
0,3,1,20.0,0,0,2.0856720914304723,0,0,1,0,1,1,0,1
0,3,1,39.0,1,5,3.442819056352975,0,0,1,0,7,0,0,1
0,3,0,14.0,0,0,2.061048420562944,0,1,0,0,1,1,0,1
1,2,0,55.0,0,0,2.772588722239781,0,0,0,1,1,1,0,1
0,3,1,2.0,4,1,3.371596911885865,0,0,0,0,6,0,1,0
1,2,1,28.0,0,0,2.5649493574615367,0,0,1,0,1,1,0,1
0,3,0,31.0,1,0,2.8903717578961645,0,0,0,1,2,0,0,1
1,3,0,28.0,0,0,1.9775472339984959,0,0,0,1,1,1,0,0
0,2,1,35.0,0,0,3.258096538021482,0,0,1,0,1,1,0,1
1,2,1,34.0,0,0,2.5649493574615367,0,0,1,0,1,1,0,1
1,3,0,15.0,0,0,2.0830848965946345,0,1,0,0,1,1,1,0
1,1,1,28.0,0,0,3.56953269648137,0,0,1,0,1,1,0,1
0,3,0,8.0,3,1,3.048087503887919,0,1,0,0,5,0,0,1
1,3,0,38.0,1,5,3.4464097244837033,0,0,0,1,7,0,0,1
0,3,1,28.0,0,0,1.9775472339984959,0,0,1,0,1,1,0,0
0,1,1,19.0,3,2,4.605170185988092,0,0,1,0,6,0,0,1
1,3,0,28.0,0,0,2.0642263758733557,0,1,0,0,1,1,1,0
0,3,1,28.0,0,0,2.0663309725297405,0,0,1,0,1,1,0,1
0,1,1,40.0,0,0,3.32218303393412,1,0,0,0,1,1,0,0
1,1,0,28.0,1,0,4.605170185988092,0,0,0,1,2,0,0,0
1,3,0,28.0,0,0,2.0476928433652555,0,1,0,0,1,1,1,0
0,2,1,66.0,0,0,2.3513752571634776,0,0,1,0,1,1,0,1
0,1,1,28.0,1,0,4.408800007809053,0,0,1,0,2,0,0,0
0,1,1,42.0,1,0,3.9512437185814275,0,0,1,0,2,0,0,1
1,3,1,28.0,0,0,1.9781283799793465,0,0,1,0,1,1,0,0
0,3,1,21.0,0,0,2.0856720914304723,0,0,1,0,1,1,0,1
0,3,0,18.0,2,0,2.8903717578961645,0,1,0,0,3,0,0,1
1,3,0,14.0,1,0,2.419630078580691,0,1,0,0,2,0,0,0
0,3,0,40.0,1,0,2.24865675096849,0,0,0,1,2,0,0,1
0,2,0,27.0,1,0,3.044522437723423,0,0,0,1,2,0,0,1
0,3,1,28.0,0,0,2.0663309725297405,0,0,1,0,1,1,0,0
1,2,0,3.0,1,2,3.7276000422255353,0,1,0,0,4,0,0,0
1,3,0,19.0,0,0,2.0642263758733557,0,1,0,0,1,1,1,0
0,3,1,28.0,0,0,2.0856720914304723,0,0,1,0,1,1,0,1
0,3,1,28.0,1,0,2.740840023925201,0,0,1,0,2,0,1,0
1,3,0,28.0,0,0,2.0476928433652555,0,1,0,0,1,1,1,0
0,3,1,28.0,2,0,3.0763532755216065,0,0,1,0,3,0,0,0
0,3,0,18.0,1,0,2.8791984572980396,0,0,0,1,2,0,0,1
0,3,1,7.0,4,1,3.6810362766529106,0,0,0,0,6,0,0,1
0,3,1,21.0,0,0,2.0541237336955462,0,0,1,0,1,1,0,1
1,1,0,49.0,1,0,4.340282339965535,0,0,0,1,2,0,0,0
1,2,0,29.0,1,0,3.258096538021482,0,0,0,1,2,0,0,1
0,1,1,65.0,0,1,4.126798844886821,0,0,1,0,2,0,0,0
1,1,1,28.0,0,0,3.56953269648137,0,0,1,0,1,1,0,1
1,2,0,21.0,0,0,2.3513752571634776,0,1,0,0,1,1,0,1
0,3,1,28.5,0,0,1.9781283799793465,0,0,1,0,1,1,0,0
1,2,0,5.0,1,2,3.3232358401924436,0,1,0,0,4,0,0,1
0,3,1,11.0,5,2,3.8480176754522337,0,0,0,0,8,0,0,1
0,3,1,22.0,0,0,1.9781283799793465,0,0,1,0,1,1,0,0
1,1,0,38.0,0,0,4.382026634673881,0,1,0,0,1,1,0,1
0,1,1,45.0,1,0,4.424547185829718,0,0,1,0,2,0,0,1
0,3,1,4.0,3,2,3.32862668882732,0,0,0,0,6,0,0,1
0,1,1,28.0,0,0,3.32218303393412,0,0,1,0,1,1,0,0
1,3,1,28.0,1,1,2.7243040552851014,0,0,0,0,3,0,0,0
1,2,0,29.0,0,0,2.3513752571634776,0,0,0,1,1,1,0,1
0,3,1,19.0,0,0,2.0990358139382788,0,0,1,0,1,1,0,1
1,3,0,17.0,4,2,2.0700223197633445,0,1,0,0,7,0,0,1
0,3,1,26.0,2,0,2.1590033645160216,0,0,1,0,3,0,0,1
0,2,1,32.0,0,0,2.3513752571634776,0,0,1,0,1,1,0,1
0,3,0,16.0,5,2,3.8480176754522337,0,1,0,0,8,0,0,1
0,2,1,21.0,0,0,4.297285406218791,0,0,1,0,1,1,0,1
0,3,1,26.0,1,0,2.6709850297651974,0,0,1,0,2,0,0,0
1,3,1,32.0,0,0,4.034166299106131,0,0,1,0,1,1,0,1
0,3,1,25.0,0,0,2.0347056478384444,0,0,1,0,1,1,0,1
